Event Type,Transaction Hash,Address,Block Hash,Block Number,Reserve,User,Amount,On Behalf Of,Borrow Rate,Repayer,useAtokens,To,Target,Asset,Referral Code,Initiator,Premium
Supply,0x605c3930567b218631c716acea1c0f195803306ba395fd3152027b106fb27ac4,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x9492033dfe32a3a3bbebb5b4d05d0c3e7955c1911b55424f44a259b24e6b46be,19201960,0xae78736Cd615f374D3085123A210448E74Fc6393,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,386711220013743821,,,,,,,,,,
Borrow,0xb1e06071664d880231e79518c4df82142b8e57218b97ff7c0dae3dc0fea86c85,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x80a3d6aa55cb0f3e6c14faf2541353d962fc0c0149521645f1e700b661f5978b,19202018,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9,500000000000000000,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,25512537012506572520538021,,,,,,,,
Repay,0x12bd94e147180a046fffb1438a874b3518c61d25e08eb24e85fca5497c5f1f15,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x9f0eab76a2376547d53c100a971ed91fdcabdbcfabc99117c1473c891ec4cc44,19396167,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,1156755819,,,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,False,,,,,,
Repay,0x4c70ffaf7b28f28dee6fda4603b3b01177c5a25aa5f80a197eadb30f5305c310,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x7678afc200556024820912cade4fa868e46a6b4c1b098e9339c7ef9b44588ef2,19202004,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,629000000,,,0xaB60e22017df361fC490AAb971cEeAF905D1b46d,False,,,,,,
Supply,0x89fd69209d1b62bef69b0fb03902c2d1794da1ef76c141cbf515df07516b364e,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xb56ad1747eef301941e2e23ae96a562dd5e2016b550baa938f4c3b23006daf76,19651273,0xae78736Cd615f374D3085123A210448E74Fc6393,0xcc9922F7518D07D92F063f19aA923591CEBe9504,1.267988285840555e+19,,,,,,,,,,
Repay,0xa83b59c83ce7a427fd1f4ad94b8d10147044dc8ea90cb6ab438a193eae44fe8f,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x8fd02cafeb5ecb7628808c915c43a38f06ea406ca1de916fea5cc3337c60a1bb,19699852,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xcc9922F7518D07D92F063f19aA923591CEBe9504,16743950166.0,,,0xcc9922F7518D07D92F063f19aA923591CEBe9504,False,,,,,,
Supply,0x23600be1a6901fc21d4006c00522992122fbab43d059adc6132e83f30f4451bc,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x9e4d6ee893cb31baa45939ec7d10a698a9d16fe5c004ebbd9e056d9dd78ddf76,19331822,0xae78736Cd615f374D3085123A210448E74Fc6393,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,9.153354898374752e+18,,,,,,,,,,
Supply,0x41ab4ea95cf0c68ed4796ec61a2dc13924265330ce062eedb84b0b363b784c4a,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x09cd5be4d74296d234632878b5605b345ed31ce8ed5bf1237af5626caf6ad70b,19331901,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,42315889.0,,,,,,,,,,
Supply,0x8034d4500189f8a0bef853bd192fc8257c40e07a472e2eac541e12a16da47a34,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xfce07eba4be70879fcb554276bb73ce3ac92b4fffcf06d039cf03fbcc36bcd10,19215419,0xae78736Cd615f374D3085123A210448E74Fc6393,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,4.824509748085154e+18,,,,,,,,,,
Supply,0x201ad770294869213bab79df4f323281b09d1b9678c09ecb0dc6d98191e898a1,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xa7d6f037cab2c538e110d2f0eeb93447e688b8ae585186ede3d067b70452e2c6,19215488,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,29784895.0,,,,,,,,,,
Supply,0xc682d88993c66f02956defcd68fcc2a7c2c7b51c593b8890e2d321a282a47758,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x637e1914b68734d36cf6914b0c39f2853347f10c32da047f1526db4f676fa641,18086650,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,25186880.0,,,,,,,,,,
Supply,0x2ce479f0590a90d77e16233be5d3dc3553ac83bfc5a739b9411255906a4038fa,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x84da6228f96a1aa6dd54ffdc85562980115775ed9417212eb4e87665d8bf2ba5,18086670,0xae78736Cd615f374D3085123A210448E74Fc6393,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,9.527608402459904e+17,,,,,,,,,,
Supply,0xac01e136112e8a334fcba66839615d5dffb23356add4d408c26222410a1a9b95,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x9833baafe1b545009388c3826f88d0e2083bad924d0bb0a29e704803b9411a17,18133942,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,7807780.0,,,,,,,,,,
Supply,0x8eb0344af117d7cd6b9d2e106d8a116506efc7f805dc24deba47be4bdf3bc73e,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x89f97fcfcfecb80c91be2a527f5a23df66e0a2c4031baea020b453e364cf09d4,17584805,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,93359637.0,,,,,,,,,,
Supply,0x9e40365044e2ef3a608aad4fc85f8fb9c804a91fa9985e056d25e2b6ee727503,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x21db39631a53d95a1da7e7f5aac16f814ed224eca254bfb1edb72df39552963f,17125432,0xae78736Cd615f374D3085123A210448E74Fc6393,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,2.359342512362974e+18,,,,,,,,,,
Supply,0x16b58e0791861ad208707b1ff35ac98e9c1021835f0cb62d064ae86e7a1baa96,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x1f2a8bb035c1fba37f91a7b6d9b4513af97c22464e3c2f95aeeb61bbcd8f1409,17125894,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,7796546.0,,,,,,,,,,
Supply,0xfff12c56173d6581465427eefff8c88218a501259fb42f41e4a5a732595dd7f2,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0xe324e319aec30fb66256f80843e436af70a925d97389f8c85f7e60c2efa5797d,17019771,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,21323638.0,,,,,,,,,,
Supply,0x2342460b7c30a2bc15a8905d61a663ab2b6f6d4261110429458c7d2791e75e20,0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,0x671042c29056bdd8e28e816b6faa7b9afff86fbd31ab0790ca4b125c7bc19946,17019994,0xae78736Cd615f374D3085123A210448E74Fc6393,0x35451b05E053B826538B03ad20F2eE5d76dB5Cea,2.0166151459056888e+18,,,,,,,,,,
